Reasons,Boys,Girls,Total
Not interested in studies,37.2,22.3,29.8
Costs too much,18.9,18.6,18.8
Required for household work,7.8,16.1,11.9
Required for outside work for payment in cash/kind,9.2,3.4,6.3
Repeated failures,6.3,5.7,6
Required for work on farm/family business,7.6,3.3,5.4
School too far away,1.2,5.9,3.5
Further education not considered necessary,2.8,4,3.4
Got married,0.2,5.6,2.9
Did not get admission,2.1,2.2,2.1
Not safe to send girls,0.2,2.7,1.4
No proper school facilities for girls,0.2,1.9,1.1
Transport not available,0.3,1.6,1
Required for care of siblings,0.2,0.7,0.5
No female teacher,0.1,0.3,0.2
Other,5.2,5,5.1
Don't know,0.5,0.5,0.5
Number of Children,6166,7400,13566
